value,type,log_date,tz
292368,DAU,2018-7-19,0
290766,DAU,2018-7-20,0
294669,DAU,2018-7-21,0
295811,DAU,2018-7-22,0
297514,DAU,2018-7-23,0
297392,DAU,2018-7-24,0
298957,DAU,2018-7-25,0
298101,DAU,2018-7-26,0
298740,DAU,2018-7-27,0
304086,DAU,2018-7-28,0
305269,DAU,2018-7-29,0
304827,DAU,2018-7-30,0
299689,DAU,2018-7-31,0
300526,DAU,2018-8-1,0
303245,DAU,2018-8-2,0
307010,DAU,2018-8-3,0
312059,DAU,2018-8-4,0
313667,DAU,2018-8-5,0
310340,DAU,2018-8-6,0
310972,DAU,2018-8-7,0
305250,DAU,2018-8-8,0
306289,DAU,2018-8-9,0
304289,DAU,2018-8-10,0
308332,DAU,2018-8-11,0
311584,DAU,2018-8-12,0
307650,DAU,2018-8-13,0
309530,DAU,2018-8-14,0
305474,DAU,2018-8-15,0
302539,DAU,2018-8-16,0
300082,DAU,2018-8-17,0
302128,DAU,2018-8-18,0
319494,DAU,2018-8-19,0
313500,DAU,2018-8-20,0
315547,DAU,2018-8-21,0
320139,DAU,2018-8-22,0
308955,DAU,2018-8-23,0
313728,DAU,2018-8-24,0
312944,DAU,2018-8-25,0
312243,DAU,2018-8-26,0
304547,DAU,2018-8-27,0
308035,DAU,2018-8-28,0
301067,DAU,2018-8-29,0
298039,DAU,2018-8-30,0
296495,DAU,2018-8-31,0
301283,DAU,2018-9-1,0
296773,DAU,2018-9-2,0
264185,DAU,2018-9-3,0
261932,DAU,2018-9-4,0
279501,DAU,2018-9-5,0
275083,DAU,2018-9-6,0
290165,DAU,2018-9-7,0
314995,DAU,2018-9-8,0
313262,DAU,2018-9-9,0
277013,DAU,2018-9-10,0
271777,DAU,2018-9-11,0
269457,DAU,2018-9-12,0
275500,DAU,2018-9-13,0
289357,DAU,2018-9-14,0
328660,DAU,2018-9-15,0
325854,DAU,2018-9-16,0
289569,DAU,2018-9-17,0
279726,DAU,2018-9-18,0
278205,DAU,2018-9-19,0
279185,DAU,2018-9-20,0
292480,DAU,2018-9-21,0
328503,DAU,2018-9-22,0
339476,DAU,2018-9-23,0
342088,DAU,2018-9-24,0
294469,DAU,2018-9-25,0
291776,DAU,2018-9-26,0
281823,DAU,2018-9-27,0
283757,DAU,2018-9-28,0
290069,DAU,2018-9-29,0
312873,DAU,2018-9-30,0
346452,DAU,2018-10-1,0
337137,DAU,2018-10-2,0
336470,DAU,2018-10-3,0
329916,DAU,2018-10-4,0
335308,DAU,2018-10-5,0
336972,DAU,2018-10-6,0
324423,DAU,2018-10-7,0
284700,DAU,2018-10-8,0
308346,DAU,2018-10-9,0
304087,DAU,2018-10-10,0
301938,DAU,2018-10-11,0
294299,DAU,2018-10-12,0
327073,DAU,2018-10-13,0
322331,DAU,2018-10-14,0
284184,DAU,2018-10-15,0
276218,DAU,2018-10-16,0
282349,DAU,2018-10-17,0
280083,DAU,2018-10-18,0
292260,DAU,2018-10-19,0
328689,DAU,2018-10-20,0
325861,DAU,2018-10-21,0
285451,DAU,2018-10-22,0
280790,DAU,2018-10-23,0
283223,DAU,2018-10-24,0
279125,DAU,2018-10-25,0
290094,DAU,2018-10-26,0
319629,DAU,2018-10-27,0
339877,DAU,2018-10-28,0
299389,DAU,2018-10-29,0
297294,DAU,2018-10-30,0
300248,DAU,2018-10-31,0
284604,DAU,2018-11-1,0
293374,DAU,2018-11-2,0
319984,DAU,2018-11-3,0
313586,DAU,2018-11-4,0
277091,DAU,2018-11-5,0
276785,DAU,2018-11-6,0
275415,DAU,2018-11-7,0
277119,DAU,2018-11-8,0
285832,DAU,2018-11-9,0
310770,DAU,2018-11-10,0
331335,DAU,2018-11-11,0
305905,DAU,2018-11-12,0
307803,DAU,2018-11-13,0
284893,DAU,2018-11-14,0
288881,DAU,2018-11-15,0
297872,DAU,2018-11-16,0
317505,DAU,2018-11-17,0
314167,DAU,2018-11-18,0
283716,DAU,2018-11-19,0
280979,DAU,2018-11-20,0
301758,DAU,2018-11-21,0
314162,DAU,2018-11-22,0
321281,DAU,2018-11-23,0
317847,DAU,2018-11-24,0
315324,DAU,2018-11-25,0
288553,DAU,2018-11-26,0
288632,DAU,2018-11-27,0
314140,DAU,2018-11-28,0
311435,DAU,2018-11-29,0
326091,DAU,2018-11-30,0
332170,DAU,2018-12-1,0
325961,DAU,2018-12-2,0
300788,DAU,2018-12-3,0
302065,DAU,2018-12-4,0
300814,DAU,2018-12-5,0
298860,DAU,2018-12-6,0
298561,DAU,2018-12-7,0
328315,DAU,2018-12-8,0
324405,DAU,2018-12-9,0
299140,DAU,2018-12-10,0
319680,DAU,2018-12-11,0
316778,DAU,2018-12-12,0
323879,DAU,2018-12-13,0
307897,DAU,2018-12-14,0
332406,DAU,2018-12-15,0
325444,DAU,2018-12-16,0
300951,DAU,2018-12-17,0
300182,DAU,2018-12-18,0
303356,DAU,2018-12-19,0
303825,DAU,2018-12-20,0
302922,DAU,2018-12-21,0
342147,DAU,2018-12-22,0
337151,DAU,2018-12-23,0
312271,DAU,2018-12-24,0
315710,DAU,2018-12-25,0
309960,DAU,2018-12-26,0
309530,DAU,2018-12-27,0
312771,DAU,2018-12-28,0
357603,DAU,2018-12-29,0
367209,DAU,2018-12-30,0
367515,DAU,2018-12-31,0
346443,DAU,2019-1-1,0
319363,DAU,2019-1-2,0
319782,DAU,2019-1-3,0
332433,DAU,2019-1-4,0
356008,DAU,2019-1-5,0
347170,DAU,2019-1-6,0
319345,DAU,2019-1-7,0
322897,DAU,2019-1-8,0
322438,DAU,2019-1-9,0
326476,DAU,2019-1-10,0
364061,DAU,2019-1-11,0
382237,DAU,2019-1-12,0
383307,DAU,2019-1-13,0
333887,DAU,2019-1-14,0
336461,DAU,2019-1-15,0
333933,DAU,2019-1-16,0
332523,DAU,2019-1-17,0
334937,DAU,2019-1-18,0
340809,DAU,2019-1-19,0
343619,DAU,2019-1-20,0
344855,DAU,2019-1-21,0
362943,DAU,2019-1-22,0
371250,DAU,2019-1-23,0
381266,DAU,2019-1-24,0
392036,DAU,2019-1-25,0
394562,DAU,2019-1-26,0
396379,DAU,2019-1-27,0
386175,DAU,2019-1-28,0
401183,DAU,2019-1-29,0
382601,DAU,2019-1-30,0
374379,DAU,2019-1-31,0
359707,DAU,2019-2-1,0
359619,DAU,2019-2-2,0
359851,DAU,2019-2-3,0
360435,DAU,2019-2-4,0
351892,DAU,2019-2-5,0
348080,DAU,2019-2-6,0
349132,DAU,2019-2-7,0
353589,DAU,2019-2-8,0
353171,DAU,2019-2-9,0
354372,DAU,2019-2-10,0
344644,DAU,2019-2-11,0
355680,DAU,2019-2-12,0
354770,DAU,2019-2-13,0
356762,DAU,2019-2-14,0
370863,DAU,2019-2-15,0
369718,DAU,2019-2-16,0
370597,DAU,2019-2-17,0
343370,DAU,2019-2-18,0
351353,DAU,2019-2-19,0
335950,DAU,2019-2-20,0
331550,DAU,2019-2-21,0
338918,DAU,2019-2-22,0
348392,DAU,2019-2-23,0
347399,DAU,2019-2-24,0
327278,DAU,2019-2-25,0
335674,DAU,2019-2-26,0
334808,DAU,2019-2-27,0
333413,DAU,2019-2-28,0
336194,DAU,2019-3-1,0
350137,DAU,2019-3-2,0
344945,DAU,2019-3-3,0
319233,DAU,2019-3-4,0
318160,DAU,2019-3-5,0
321182,DAU,2019-3-6,0
317305,DAU,2019-3-7,0
361892,DAU,2019-3-8,0
373899,DAU,2019-3-9,0
371231,DAU,2019-3-10,0
326089,DAU,2019-3-11,0
328504,DAU,2019-3-12,0
327588,DAU,2019-3-13,0
333924,DAU,2019-3-14,0
342407,DAU,2019-3-15,0
354537,DAU,2019-3-16,0
350014,DAU,2019-3-17,0
317304,DAU,2019-3-18,0
323006,DAU,2019-3-19,0
323291,DAU,2019-3-20,0
328333,DAU,2019-3-21,0
336460,DAU,2019-3-22,0
348099,DAU,2019-3-23,0
346261,DAU,2019-3-24,0
320172,DAU,2019-3-25,0
353908,DAU,2019-3-26,0
353263,DAU,2019-3-27,0
355498,DAU,2019-3-28,0
337943,DAU,2019-3-29,0
344539,DAU,2019-3-30,0
340391,DAU,2019-3-31,0
331866,DAU,2019-4-1,0
328739,DAU,2019-4-2,0
329531,DAU,2019-4-3,0
341937,DAU,2019-4-4,0
353683,DAU,2019-4-5,0
353759,DAU,2019-4-6,0
379403,DAU,2019-4-7,0
355143,DAU,2019-4-8,0
357478,DAU,2019-4-9,0
332791,DAU,2019-4-10,0
344199,DAU,2019-4-11,0
345671,DAU,2019-4-12,0
364506,DAU,2019-4-13,0
352147,DAU,2019-4-14,0
335771,DAU,2019-4-15,0
326055,DAU,2019-4-16,0
333176,DAU,2019-4-17,0
340485,DAU,2019-4-18,0
348763,DAU,2019-4-19,0
366754,DAU,2019-4-20,0
361546,DAU,2019-4-21,0
339228,DAU,2019-4-22,0
336104,DAU,2019-4-23,0
334893,DAU,2019-4-24,0
367723,DAU,2019-4-25,0
370865,DAU,2019-4-26,0
384611,DAU,2019-4-27,0
351569,DAU,2019-4-28,0
341861,DAU,2019-4-29,0
345697,DAU,2019-4-30,0
374731,DAU,2019-5-1,0
356453,DAU,2019-5-2,0
353510,DAU,2019-5-3,0
367326,DAU,2019-5-4,0
353156,DAU,2019-5-5,0
354055,DAU,2019-5-6,0
346862,DAU,2019-5-7,0
343355,DAU,2019-5-8,0
340910,DAU,2019-5-9,0
340024,DAU,2019-5-10,0
383183,DAU,2019-5-11,0
381768,DAU,2019-5-12,0
